[mut 300K rep3] equilibrating 100 ps at 300.0 K...
[mut 300K rep3] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
0.2%,100000,-660029.8177080252,297.7551887217193,0,--
0.3%,150000,-660510.2549687591,301.9284495195109,701,3:24:52
0.4%,200000,-661480.65380762,299.22054515151444,701,3:24:40
0.5%,250000,-660748.8542351173,299.5030512769317,703,3:24:06
0.6%,300000,-659688.7476146095,301.1190283958903,702,3:24:08
0.7%,350000,-662015.9864822282,299.7135934380659,702,3:23:49
0.8%,400000,-661964.070261253,300.7959404144092,702,3:23:33
0.9%,450000,-660772.1096813641,299.84655329742566,702,3:23:24
1.0%,500000,-661739.6273614564,297.5673885163274,702,3:23:20
1.1%,550000,-661642.5957211042,300.1704023286068,702,3:23:07
1.2%,600000,-661749.1462282245,299.4056816829562,702,3:22:52
1.3%,650000,-661364.2285151519,301.1285639009555,702,3:22:39
1.4%,700000,-661263.5324093038,300.0956851551148,702,3:22:26
1.5%,750000,-660828.0436743358,298.73886784283405,702,3:22:19
1.6%,800000,-660758.9063806329,299.90291574285794,702,3:22:04
1.7%,850000,-659884.390763103,300.6713073341205,702,3:21:52
1.8%,900000,-660023.4683777089,302.10474444414336,702,3:21:41
1.9%,950000,-661778.4519206844,299.3216080749166,702,3:21:29
2.0%,1000000,-659920.403833665,300.22577988619196,702,3:21:14
2.1%,1050000,-661144.1300774231,297.84217222567077,702,3:21:04
2.2%,1100000,-661201.0139965117,301.48039270052044,702,3:20:53
2.3%,1150000,-660083.692814731,299.4239244919424,702,3:20:41
2.4%,1200000,-660635.4556834861,300.23155491038636,702,3:20:30
2.5%,1250000,-661429.5714354464,300.49443043030567,701,3:20:21
2.6%,1300000,-660567.9296205901,301.69048718536055,702,3:20:08
2.7%,1350000,-661900.3312179255,302.30116241819746,702,3:19:55
2.8%,1400000,-660135.0382114174,297.6093357850884,702,3:19:42
2.9%,1450000,-662161.3288701419,298.67256698367186,702,3:19:29
3.0%,1500000,-661604.3291416257,300.3933003554593,702,3:19:17
3.1%,1550000,-661195.875655165,299.02963359587824,702,3:19:04
3.2%,1600000,-660634.9733238956,300.0808670697787,702,3:18:51
3.3%,1650000,-660184.5522723175,299.73082897539035,702,3:18:36
3.4%,1700000,-661457.1232209005,298.19776150610653,702,3:18:24
3.5%,1750000,-659897.5779593573,301.74282054414556,702,3:18:11
3.6%,1800000,-662015.4719179319,300.62199579032097,702,3:17:58
3.7%,1850000,-661298.5932623893,299.741394135932,702,3:17:46
3.8%,1900000,-661586.2306496343,299.9368943735832,702,3:17:34
3.9%,1950000,-661635.5421262644,298.938352399503,702,3:17:21
4.0%,2000000,-661321.7991464664,301.25326413268834,702,3:17:08
4.1%,2050000,-661773.230675133,299.9836317786914,702,3:16:57
4.2%,2100000,-661580.3647751915,302.1495344573721,702,3:16:45
4.3%,2150000,-662181.8608133355,299.4487481424525,702,3:16:32
4.4%,2200000,-659264.4808357898,301.38631352730687,702,3:16:18
4.5%,2250000,-660114.7756239171,301.2385579664258,702,3:16:05
4.6%,2300000,-660792.1324421545,301.7898265550303,702,3:15:52
4.7%,2350000,-661000.9252853352,299.0671712531419,702,3:15:40
4.8%,2400000,-662039.1868578335,300.0939392175676,702,3:15:29
4.9%,2450000,-660794.6611529486,300.8848041587961,702,3:15:16
5.0%,2500000,-661005.3673131247,297.84615654468865,702,3:15:03
5.1%,2550000,-660570.8751427955,302.4760247786887,702,3:14:49
5.2%,2600000,-661402.2685755608,301.1245348143082,702,3:14:37
5.3%,2650000,-661512.9099903931,302.4593040691026,702,3:14:24
5.4%,2700000,-661657.2958918205,300.75600768897186,702,3:14:13
5.5%,2750000,-662480.2819822673,300.2795010414888,702,3:13:59
5.6%,2800000,-661841.2707912493,300.15222667106474,702,3:13:46
5.7%,2850000,-663024.9004949131,300.69776500310417,702,3:13:34
5.8%,2900000,-661578.2672412232,303.2822897844356,702,3:13:21
5.9%,2950000,-660358.0118431714,298.6932496284611,702,3:13:07
6.0%,3000000,-661206.7244724464,301.53274844312017,702,3:12:54
6.1%,3050000,-661223.223215261,301.30709720705875,702,3:12:42
6.2%,3100000,-661577.9930379684,299.1168857056062,702,3:12:30
6.3%,3150000,-660980.4175138776,303.7896860962143,702,3:12:19
6.4%,3200000,-660726.7173687741,298.2322101969406,702,3:12:07
6.5%,3250000,-662952.321020681,302.5655600375168,702,3:11:55
6.6%,3300000,-661062.4686167021,298.6243522467929,702,3:11:43
6.7%,3350000,-660829.3009762284,299.4256032780454,702,3:11:31
6.8%,3400000,-660571.12953969,299.9102576340818,702,3:11:19
6.9%,3450000,-660986.7053006231,302.6158788529782,702,3:11:07
7.0%,3500000,-661351.2081064787,297.8560054231598,702,3:10:54
7.1%,3550000,-660936.607447037,301.74814789204584,702,3:10:40
7.2%,3600000,-661174.2254621955,299.9396251989774,702,3:10:29
7.3%,3650000,-662621.4553541075,301.7196532959238,702,3:10:17
7.4%,3700000,-660750.239108474,301.22530674811924,702,3:10:05
7.5%,3750000,-660425.2465912206,299.4883674944839,702,3:09:53
7.6%,3800000,-661390.9518781183,300.56525282003867,702,3:09:41
7.7%,3850000,-662042.0207377472,301.55031973766523,702,3:09:28
7.8%,3900000,-662527.872847572,298.2838496574697,702,3:09:16
7.9%,3950000,-660373.4395532697,299.59406386753045,702,3:09:04
8.0%,4000000,-662766.5840488095,300.89366814942,702,3:08:52
8.1%,4050000,-661354.2249649125,298.45204164117825,702,3:08:40
8.2%,4100000,-660719.9621674446,301.1189388606315,702,3:08:27
8.3%,4150000,-660057.5463633612,300.90045044527625,702,3:08:16
8.4%,4200000,-661469.9822143815,300.13136495575776,702,3:08:03
8.5%,4250000,-659329.4087194945,299.42533467226895,702,3:07:51
8.6%,4300000,-661068.7783462591,300.0102461343781,702,3:07:38
8.7%,4350000,-661033.4908292415,298.8391921003509,702,3:07:26
8.8%,4400000,-662105.6298957588,297.28521814813075,702,3:07:13
8.9%,4450000,-661617.4367201128,298.86009858328725,702,3:07:01
9.0%,4500000,-660654.7160194074,300.9232147848333,702,3:06:49
9.1%,4550000,-660325.031039021,302.7078315637946,702,3:06:36
9.2%,4600000,-662709.9371079304,301.6465925247201,702,3:06:23
9.3%,4650000,-661953.8640403775,300.3171953854554,702,3:06:10
9.4%,4700000,-660952.9800571059,301.1743164182167,702,3:05:58
9.5%,4750000,-661630.5023995265,302.33872245927586,702,3:05:46
9.6%,4800000,-661826.5052874442,301.0552345239753,702,3:05:33
9.7%,4850000,-661505.114573658,299.18887205370396,702,3:05:21
9.8%,4900000,-662924.0838000416,299.3743891099958,702,3:05:08
9.9%,4950000,-663646.229374887,302.674725901843,702,3:04:56
10.0%,5000000,-661694.2013393147,300.6568473898198,702,3:04:44
10.1%,5050000,-660238.1324153556,299.2320280484591,702,3:04:31
10.2%,5100000,-661563.7689165059,300.68480477438885,702,3:04:19
10.3%,5150000,-659826.6338272053,298.9823365954023,702,3:04:07
10.4%,5200000,-661863.4583450537,301.3113948994824,702,3:03:55
10.5%,5250000,-661159.4301429312,300.20720131998513,702,3:03:41
10.6%,5300000,-661713.8651002594,299.8304593346513,702,3:03:30
10.7%,5350000,-660412.6848398405,299.4140084620272,702,3:03:17
10.8%,5400000,-660817.6707910025,300.78555432438515,702,3:03:05
10.9%,5450000,-660983.5505348896,299.25136766436594,702,3:02:52
11.0%,5500000,-661008.5486730966,299.1595492564378,702,3:02:39
11.1%,5550000,-660947.6019924833,301.6756019485804,702,3:02:27
11.2%,5600000,-660979.6737081022,298.8645305785992,702,3:02:15
11.3%,5650000,-661162.4631065424,299.49127739039585,702,3:02:03
11.4%,5700000,-660423.4764662064,298.0753220396591,702,3:01:51
11.5%,5750000,-661188.4110747408,301.19278306534994,702,3:01:39
11.6%,5800000,-662043.098192729,299.83164567683076,702,3:01:27
11.7%,5850000,-660467.2852122718,301.20845173564487,702,3:01:15
11.8%,5900000,-661925.55807153,301.4374381600977,702,3:01:02
11.9%,5950000,-660582.118450636,300.51849303111567,702,3:00:50
12.0%,6000000,-661608.8178292513,300.0764798420962,702,3:00:38
12.1%,6050000,-660837.722900263,299.90260236945204,702,3:00:26
12.2%,6100000,-661700.2899416653,299.5658602609996,702,3:00:13
12.3%,6150000,-661406.8790081008,298.024219790683,702,3:00:01
12.4%,6200000,-659217.6781466035,300.0668100341427,702,2:59:49
12.5%,6250000,-660710.6706668558,301.0867285512681,702,2:59:37
12.6%,6300000,-661003.5400497918,301.27714766298067,702,2:59:24
12.7%,6350000,-661119.5275695818,298.64257267196444,702,2:59:12
12.8%,6400000,-660606.3808142436,299.65279899732167,702,2:58:59
12.9%,6450000,-662031.3737163101,300.88599050097554,702,2:58:48
13.0%,6500000,-660793.1551107233,300.53946666549615,702,2:58:35
13.1%,6550000,-661382.8450315371,299.1693981349088,702,2:58:23
13.2%,6600000,-659801.4104516632,301.39363303471606,702,2:58:10
13.3%,6650000,-660348.3204721673,301.84921081544803,702,2:57:58
13.4%,6700000,-660967.5178679521,298.8746032952174,702,2:57:46
13.5%,6750000,-660539.4050942082,300.25084975866383,702,2:57:34
13.6%,6800000,-661064.1322279638,298.43030695709774,702,2:57:22
13.7%,6850000,-662149.1836412521,300.0910293216557,702,2:57:09
13.8%,6900000,-661089.8114006021,298.81094372619066,702,2:56:57
13.9%,6950000,-660511.7455606754,300.91927523344486,702,2:56:45
14.0%,7000000,-660519.1966482033,300.1972629062553,702,2:56:32
14.1%,7050000,-662053.7316185483,297.16284583312745,702,2:56:19
14.2%,7100000,-660508.8963654242,299.72102486454867,702,2:56:06
14.3%,7150000,-660084.140874553,299.7827594255106,702,2:55:54
14.4%,7200000,-659776.2193442243,298.9775240752403,702,2:55:41
14.5%,7250000,-661267.9491726989,301.3484401128226,702,2:55:29
14.6%,7300000,-661359.7358415169,298.85692008159884,702,2:55:16
14.7%,7350000,-660379.066481831,301.74691678223695,702,2:55:03
14.8%,7400000,-662057.2664319812,301.4464140697952,702,2:54:51
14.9%,7450000,-661339.1176138963,298.3638046436032,702,2:54:39
15.0%,7500000,-660581.6110160137,300.3579339282222,702,2:54:26
