[mut 400K rep1] equilibrating 100 ps at 400.0 K...
[mut 400K rep1] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
0.2%,100000,-583451.1436522254,403.66926675010956,0,--
0.3%,150000,-582013.3892777893,399.8693455978164,695,3:26:49
0.4%,200000,-582193.0545178014,402.07759845392275,697,3:26:00
0.5%,250000,-582834.6249604588,401.47404127416263,699,3:25:17
0.6%,300000,-582837.8284663777,399.614349180674,697,3:25:25
0.7%,350000,-581532.130306554,398.7635851512896,696,3:25:32
0.8%,400000,-582043.5082236179,403.4087639145493,697,3:25:16
0.9%,450000,-582591.963586763,400.1997754705214,697,3:24:59
1.0%,500000,-584355.7698490438,399.55019716772364,697,3:24:52
1.1%,550000,-582314.313806491,401.0093532808449,697,3:24:36
1.2%,600000,-584537.3327331892,398.3678840748989,696,3:24:31
1.3%,650000,-582340.7825226579,396.9701491493337,696,3:24:20
1.4%,700000,-582230.6733646435,399.78912200590645,697,3:23:59
1.5%,750000,-583565.0437009907,400.89483768480375,696,3:23:52
1.6%,800000,-581874.9195179413,397.08779847943384,696,3:23:44
1.7%,850000,-583448.4624257265,398.3293391459734,696,3:23:36
1.8%,900000,-582395.2392957658,400.7190799717243,696,3:23:23
1.9%,950000,-581305.710190054,400.640557549732,696,3:23:14
2.0%,1000000,-583675.5696348315,402.3422199113891,696,3:22:58
2.1%,1050000,-583043.1181651969,402.55159811415865,696,3:22:41
2.2%,1100000,-581184.9355116799,401.5290159230831,696,3:22:27
2.3%,1150000,-583015.7579026334,401.63278728806483,696,3:22:19
2.4%,1200000,-583773.8249402624,402.49796649412065,696,3:22:07
2.5%,1250000,-583727.9867820353,401.63341403487664,696,3:21:54
2.6%,1300000,-581757.8958543898,401.0311103487401,696,3:21:39
2.7%,1350000,-582849.7357392027,396.9471385878149,696,3:21:33
2.8%,1400000,-583033.7791140438,402.1383481270376,696,3:21:23
2.9%,1450000,-582431.947954345,399.2289446590485,696,3:21:09
3.0%,1500000,-583928.9173817467,401.36503209653944,696,3:20:57
3.1%,1550000,-583118.3502252009,401.4290050389721,696,3:20:45
3.2%,1600000,-583202.1205589892,402.48775947461417,696,3:20:34
3.3%,1650000,-581783.0371886375,401.4814727006454,696,3:20:21
3.4%,1700000,-583279.7424902921,399.716195537591,696,3:20:12
3.5%,1750000,-583562.9794967487,401.1526992302287,695,3:20:00
3.6%,1800000,-583015.4978154842,397.89871931863973,695,3:19:50
3.7%,1850000,-582782.1937869759,402.6237635327741,695,3:19:38
3.8%,1900000,-581691.0685359854,402.14255628420256,695,3:19:25
3.9%,1950000,-583276.8210968059,401.0669244522714,695,3:19:16
4.0%,2000000,-584475.5540302168,404.09778249886074,695,3:19:02
4.1%,2050000,-583474.292055028,400.7976023937165,695,3:18:48
4.2%,2100000,-583603.7561483006,399.5193970386868,695,3:18:36
4.3%,2150000,-583001.9065001165,400.7108874955415,695,3:18:26
4.4%,2200000,-581357.0111040892,402.0866415150644,695,3:18:12
4.5%,2250000,-581965.5237396997,400.47482778564125,695,3:17:59
4.6%,2300000,-583024.9639899675,399.6976169713841,695,3:17:48
4.7%,2350000,-582316.9634643258,402.4973397473088,695,3:17:35
4.8%,2400000,-582871.2055103341,399.8241750597376,695,3:17:22
4.9%,2450000,-583824.3872833275,402.4431261480884,695,3:17:08
5.0%,2500000,-582442.9923595269,401.2161797287378,695,3:16:56
5.1%,2550000,-584580.4642103766,402.5688784191124,695,3:16:46
5.2%,2600000,-583801.7919171681,400.545515872486,695,3:16:35
5.3%,2650000,-583769.5058224169,400.0109903772824,695,3:16:23
5.4%,2700000,-581620.7260836945,397.97160101932576,695,3:16:13
5.5%,2750000,-585029.0897274842,400.8801986699854,695,3:16:01
5.6%,2800000,-581698.4759208616,402.3677822277846,695,3:15:49
5.7%,2850000,-581317.296521245,397.3908753305668,695,3:15:37
5.8%,2900000,-582895.7772315023,401.8922604681486,695,3:15:25
5.9%,2950000,-582121.9471318633,398.624581661959,695,3:15:13
6.0%,3000000,-581627.2682072665,402.50374151831505,695,3:15:00
6.1%,3050000,-583543.298356377,401.1966610423133,695,3:14:48
6.2%,3100000,-582251.5067006256,400.7277648918306,695,3:14:38
6.3%,3150000,-581968.5563796964,399.7418921568746,695,3:14:25
6.4%,3200000,-582943.0615557996,402.6325379881392,695,3:14:11
6.5%,3250000,-580720.9282518281,400.3821140251248,695,3:14:00
6.6%,3300000,-582456.0270002736,398.4222767446369,695,3:13:49
6.7%,3350000,-582155.075185935,401.17517258019456,695,3:13:37
6.8%,3400000,-581971.8127463325,399.7301630379681,695,3:13:24
6.9%,3450000,-581892.2642922299,401.5551154510315,695,3:13:13
7.0%,3500000,-582745.9351651971,400.37705528300097,695,3:13:01
7.1%,3550000,-582536.0182470423,397.711590627689,694,3:12:50
7.2%,3600000,-581929.832210423,400.0362840879013,694,3:12:37
7.3%,3650000,-582339.4618584109,397.56976677770535,694,3:12:25
7.4%,3700000,-581624.8213235694,400.49389879577166,694,3:12:14
7.5%,3750000,-581693.16665516,397.3777136475191,694,3:12:00
7.6%,3800000,-582352.588721667,400.8307752071123,694,3:11:48
7.7%,3850000,-581751.7400600179,401.5433415644956,694,3:11:37
7.8%,3900000,-581673.4399685962,399.00412162413124,694,3:11:25
7.9%,3950000,-581735.5427545798,397.5935831565536,694,3:11:13
8.0%,4000000,-581605.0527111394,400.103390764393,694,3:11:00
8.1%,4050000,-583736.4247265966,398.92918061249213,694,3:10:49
8.2%,4100000,-582564.9924028344,401.4618197113326,694,3:10:36
8.3%,4150000,-584109.6428100355,398.3149239693021,694,3:10:24
8.4%,4200000,-582769.8692129315,401.4729668510567,694,3:10:13
8.5%,4250000,-584750.4240406477,399.11832384676643,694,3:10:01
8.6%,4300000,-582020.4804191524,402.40162655562153,694,3:09:48
8.7%,4350000,-580422.5054369438,401.15417656199935,694,3:09:36
8.8%,4400000,-582795.096286729,401.19800407119567,694,3:09:25
8.9%,4450000,-583429.6115730838,398.228209071127,694,3:09:11
9.0%,4500000,-581622.8925521425,402.6106018497263,694,3:08:59
9.1%,4550000,-582611.5916471612,398.8501209789469,694,3:08:46
9.2%,4600000,-582194.5579450317,400.36469941728274,694,3:08:35
9.3%,4650000,-584143.4580172258,401.9192553486853,694,3:08:23
9.4%,4700000,-583989.5844006287,399.65920634534683,694,3:08:10
9.5%,4750000,-581674.4231545008,400.00127580169953,694,3:07:58
9.6%,4800000,-582547.4893425303,402.1609557798917,694,3:07:47
9.7%,4850000,-581470.5366868386,401.1084240447382,694,3:07:35
9.8%,4900000,-582798.770887325,400.5518281082334,694,3:07:22
9.9%,4950000,-582850.0373629285,398.99364599884836,694,3:07:09
10.0%,5000000,-584277.017103421,401.8547004270702,694,3:06:58
10.1%,5050000,-583406.6114030746,399.1797898019519,694,3:06:46
10.2%,5100000,-582898.6413397361,400.1364740425299,694,3:06:33
10.3%,5150000,-581283.5944240415,403.28605584232537,694,3:06:22
10.4%,5200000,-582628.3632729887,401.0880100057254,694,3:06:10
10.5%,5250000,-581905.6606932334,401.3852222974052,694,3:05:57
10.6%,5300000,-582941.5482868161,397.70769584393,694,3:05:45
10.7%,5350000,-581162.6550788614,399.53596106157005,694,3:05:32
10.8%,5400000,-583934.1075025443,403.217471834063,694,3:05:21
10.9%,5450000,-582879.1743960106,402.64346128971624,694,3:05:09
11.0%,5500000,-580861.5613438655,402.2065292266352,694,3:04:57
11.1%,5550000,-582051.7821244928,396.9211285951253,694,3:04:45
11.2%,5600000,-584375.5499821948,402.7130301858257,694,3:04:34
11.3%,5650000,-581498.4812468514,403.5441859935267,694,3:04:21
11.4%,5700000,-582689.9238983751,400.75928130293806,694,3:04:09
11.5%,5750000,-581569.8908509975,400.52742975020277,694,3:03:57
11.6%,5800000,-579879.1812509559,402.345443180707,694,3:03:45
11.7%,5850000,-581901.4198884005,400.49524182465404,694,3:03:33
11.8%,5900000,-581569.9269818887,396.5885498762084,694,3:03:20
11.9%,5950000,-584013.1538773649,401.3381267512616,694,3:03:08
12.0%,6000000,-583468.7600332135,398.9660691391293,693,3:02:56
12.1%,6050000,-581877.3871067073,399.1009987741832,694,3:02:43
12.2%,6100000,-584006.3141411953,399.31753979765887,694,3:02:30
12.3%,6150000,-581400.804944599,399.6809186456127,694,3:02:18
12.4%,6200000,-582613.7843387485,399.5499285619472,693,3:02:06
12.5%,6250000,-581541.9991567447,399.5772815835192,693,3:01:54
12.6%,6300000,-582256.2682846305,399.42037104242297,693,3:01:42
12.7%,6350000,-583580.6427052207,399.892982906147,693,3:01:29
12.8%,6400000,-582559.0643228111,401.672809548761,693,3:01:18
12.9%,6450000,-582359.984188254,399.44964907205974,693,3:01:06
13.0%,6500000,-581775.0296348259,399.2829344201219,693,3:00:54
13.1%,6550000,-582685.9662767872,396.44600974415414,693,3:00:42
13.2%,6600000,-582036.5037009548,402.52469276888075,693,3:00:31
13.3%,6650000,-580856.3514688397,397.00247137777063,693,3:00:19
13.4%,6700000,-583650.3630367769,400.0511469408668,693,3:00:06
13.5%,6750000,-583005.5026629805,401.1928110261837,693,2:59:54
13.6%,6800000,-583861.8080072277,400.2637931805835,693,2:59:42
13.7%,6850000,-580874.7989831734,400.76747377912085,693,2:59:30
13.8%,6900000,-580086.714987427,402.03914306025604,693,2:59:17
13.9%,6950000,-584512.2851064624,399.81584828066656,693,2:59:05
14.0%,7000000,-584565.9240361201,397.80220030962306,693,2:58:53
14.1%,7050000,-583701.4420336122,401.6658257985724,693,2:58:41
14.2%,7100000,-584830.1793902484,403.6308561240723,693,2:58:28
14.3%,7150000,-582478.4579323768,398.3763899244875,693,2:58:16
14.4%,7200000,-581654.4026829316,398.4447948622322,693,2:58:04
14.5%,7250000,-582079.0808354602,400.9185197607638,693,2:57:52
14.6%,7300000,-582191.5822281805,400.2364401590115,693,2:57:40
14.7%,7350000,-581748.367457259,398.9902884266422,693,2:57:28
14.8%,7400000,-582365.9477339135,400.5623932687751,693,2:57:15
14.9%,7450000,-583897.1038641362,400.34218129968747,693,2:57:03
15.0%,7500000,-580759.8520034528,398.28739187721243,693,2:56:50
15.1%,7550000,-582740.1801192644,396.9226506945254,693,2:56:39
15.2%,7600000,-581727.6310984506,401.240533319139,693,2:56:26
15.3%,7650000,-581820.9309921684,400.36532616409454,693,2:56:14
15.4%,7700000,-581429.9697912228,397.11403231027043,693,2:56:02
15.5%,7750000,-582246.4747633878,400.1018238973635,693,2:55:50
15.6%,7800000,-583456.0412490494,400.06426385628515,693,2:55:38
15.7%,7850000,-584923.1624426199,400.7466568314433,693,2:55:26
15.8%,7900000,-581948.198992712,395.59385791825787,693,2:55:13
15.9%,7950000,-581910.902959845,401.36015242493335,693,2:55:02
16.0%,8000000,-581801.0551762241,402.9895150650867,693,2:54:49
16.1%,8050000,-582933.3922308246,400.1488746758776,693,2:54:37
16.2%,8100000,-581980.4333595801,402.831574868514,693,2:54:24
16.3%,8150000,-581206.2057564859,400.64695932073823,693,2:54:12
16.4%,8200000,-582214.32459294,399.8722554937283,693,2:54:00
16.5%,8250000,-581490.1495947354,400.77065228080926,693,2:53:47
16.6%,8300000,-581943.233417538,399.109952300066,693,2:53:35
16.7%,8350000,-581837.9362594364,400.06283129214387,693,2:53:23
16.8%,8400000,-583172.9677170105,399.9618355201858,693,2:53:11
16.9%,8450000,-581493.4150816929,402.9762190791508,693,2:52:58
17.0%,8500000,-582214.5224848436,401.27406427357016,693,2:52:46
17.1%,8550000,-582422.1103581777,402.86823955700413,693,2:52:34
17.2%,8600000,-584622.0807485138,401.44158474283745,693,2:52:22
17.3%,8650000,-582255.7919737231,394.05891020853863,693,2:52:10
17.4%,8700000,-581059.3154307925,397.43009177393355,692,2:51:58
17.5%,8750000,-582176.629875144,400.07939531502706,692,2:51:46
17.6%,8800000,-584037.2594580771,403.76112992566715,692,2:51:33
17.7%,8850000,-583156.3082607356,399.62088525456846,692,2:51:21
17.8%,8900000,-582378.967832441,401.6654228899077,692,2:51:09
17.9%,8950000,-583473.644829825,397.797544476164,692,2:50:58
18.0%,9000000,-583956.5884924117,400.0296137111186,692,2:50:45
18.1%,9050000,-584396.559556467,400.06417432102626,692,2:50:33
18.2%,9100000,-582183.103669872,403.6977837300463,692,2:50:20
18.3%,9150000,-582747.5029434236,398.07031364218375,692,2:50:09
18.4%,9200000,-582726.0622662031,403.45585946069286,692,2:49:57
18.5%,9250000,-582296.5605320767,397.2127897007578,692,2:49:44
18.6%,9300000,-583406.6503004064,400.8035117207991,692,2:49:32
18.7%,9350000,-582688.3823974244,398.5848727746687,692,2:49:19
18.8%,9400000,-582012.7015723581,399.46491483368993,692,2:49:07
18.9%,9450000,-582371.2269360078,400.3800099465423,692,2:48:55
19.0%,9500000,-581011.8557077819,400.74992486839056,692,2:48:42
19.1%,9550000,-580969.6731794048,399.29215655178115,692,2:48:30
19.2%,9600000,-583827.5776574137,397.9518137271248,692,2:48:18
19.3%,9650000,-580288.9050740581,403.5722105295399,692,2:48:06
19.4%,9700000,-581101.1128560677,401.6132238340109,692,2:47:54
19.5%,9750000,-583227.3507493981,400.5121639885726,692,2:47:41
