[wt 400K rep3] equilibrating 100 ps at 400.0 K...
[wt 400K rep3] production 100.0 ns (50000000 steps)...
#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Speed (ns/day)","Time Remaining"
0.2%,100000,-530006.1624254896,405.2388745936162,0,--
0.3%,150000,-527261.975831185,401.14007900033295,719,3:19:49
0.4%,200000,-528967.4953743787,402.7460962275721,719,3:19:39
0.5%,250000,-528013.8153087604,402.64284069783986,719,3:19:20
0.6%,300000,-527542.2144757691,398.3706032905374,719,3:19:12
0.7%,350000,-525579.3805486169,398.6156051853902,720,3:18:54
0.8%,400000,-527604.900626624,404.41808022113327,720,3:18:41
0.9%,450000,-528178.0929383258,403.95437482246416,719,3:18:40
1.0%,500000,-527425.343920337,402.75367664066005,719,3:18:33
1.1%,550000,-528966.787892886,396.65605613611007,719,3:18:20
1.2%,600000,-528140.3569066748,400.41159884937116,719,3:18:06
1.3%,650000,-526879.8837637133,396.8305037654581,719,3:17:55
1.4%,700000,-526738.9922433496,401.43873255675015,719,3:17:47
1.5%,750000,-526983.12661822,397.9626102482527,718,3:17:39
1.6%,800000,-529139.846423144,400.9882990140053,718,3:17:33
1.7%,850000,-528296.8153265212,399.94612714085633,718,3:17:28
1.8%,900000,-527390.5270145279,400.5755222158883,718,3:17:13
1.9%,950000,-529770.1215419075,399.8403938709238,718,3:16:59
2.0%,1000000,-527825.1720643085,403.53345337339186,718,3:16:42
2.1%,1050000,-528733.8265401628,401.6599383328479,718,3:16:29
2.2%,1100000,-527757.0820401488,399.5058744118056,718,3:16:18
2.3%,1150000,-527230.3994295974,400.64504613398316,718,3:16:06
2.4%,1200000,-529705.2072984912,400.58474627841605,718,3:15:51
2.5%,1250000,-527045.0118876006,399.7210207638492,718,3:15:41
2.6%,1300000,-526973.8460654169,401.39707708288813,718,3:15:29
2.7%,1350000,-527789.5423390493,401.17062144141556,718,3:15:20
2.8%,1400000,-528484.7404994629,398.3259058386077,718,3:15:06
2.9%,1450000,-528187.7848790716,400.42420833910325,718,3:14:55
3.0%,1500000,-528030.3092406373,399.96800975727854,718,3:14:41
3.1%,1550000,-529541.81397438,397.42636348550224,718,3:14:27
3.2%,1600000,-527596.6105207098,399.05936600205126,718,3:14:13
3.3%,1650000,-528140.9621011834,401.4439088258814,718,3:14:00
3.4%,1700000,-526470.0511558489,403.04945994357786,718,3:13:48
3.5%,1750000,-529246.0807947903,402.3910924806595,719,3:13:34
3.6%,1800000,-528265.7050725068,400.83428660828923,719,3:13:23
3.7%,1850000,-527993.5731352707,402.2537618901532,718,3:13:12
3.8%,1900000,-526885.7259499086,399.07192642762095,718,3:13:00
3.9%,1950000,-529382.1151029328,398.88501650102796,718,3:12:50
4.0%,2000000,-529886.3630427164,398.5389914958313,718,3:12:38
4.1%,2050000,-528346.739065811,397.8139458362362,718,3:12:29
4.2%,2100000,-527565.9453557367,399.76780344268013,718,3:12:18
4.3%,2150000,-526682.9881721041,405.26124785166223,718,3:12:06
4.4%,2200000,-528362.5259385691,402.32971321352005,718,3:11:55
4.5%,2250000,-528734.7555590807,399.2755181694237,718,3:11:43
4.6%,2300000,-527578.4753277265,396.24094879028,718,3:11:31
4.7%,2350000,-526874.838587461,399.85010857507535,718,3:11:17
4.8%,2400000,-528080.5136823971,403.64600656189543,718,3:11:05
4.9%,2450000,-528414.0480763186,397.9763972778819,718,3:10:54
5.0%,2500000,-527521.9493656093,400.6068987477314,718,3:10:43
5.1%,2550000,-528602.0370689975,399.5165703992048,718,3:10:31
5.2%,2600000,-528587.8797903098,398.6778921395338,718,3:10:19
5.3%,2650000,-529168.8457774366,402.3065549288759,718,3:10:07
5.4%,2700000,-529291.4532639338,398.9213485132716,718,3:09:54
5.5%,2750000,-529102.1743560256,402.6632513893906,718,3:09:42
5.6%,2800000,-527527.3038636232,398.64077510069205,718,3:09:31
5.7%,2850000,-528927.5688531259,401.2129147493885,718,3:09:19
5.8%,2900000,-527811.6671943166,396.62507211756605,718,3:09:06
5.9%,2950000,-528696.5578354187,401.69079969098595,718,3:08:54
6.0%,3000000,-529183.4019594551,401.92473761722175,718,3:08:42
6.1%,3050000,-526592.3810870093,404.4988398324135,718,3:08:29
6.2%,3100000,-528519.9083914249,401.16821729745885,718,3:08:17
6.3%,3150000,-528530.7752293302,400.77668528165316,718,3:08:04
6.4%,3200000,-529521.8503116118,398.48656643832646,718,3:07:52
6.5%,3250000,-528377.491601028,399.93886564482386,718,3:07:40
6.6%,3300000,-529005.49207704,403.36408388485034,718,3:07:28
6.7%,3350000,-528973.2570071914,401.7175887236464,718,3:07:16
6.8%,3400000,-527420.3612941983,400.25503510721126,718,3:07:04
