time_ns,rg_A
0.000000000000000000e+00,1.685484677882918092e+01
1.000000000000000021e-03,1.688303782637886741e+01
2.000000000000000042e-03,1.688672744694324734e+01
3.000000000000000062e-03,1.688969519115628515e+01
4.000000000000000083e-03,1.688435965895861912e+01
5.000000000000000104e-03,1.691227412823534948e+01
6.000000000000000125e-03,1.682746564054692229e+01
7.000000000000000146e-03,1.679045770806394344e+01
8.000000000000000167e-03,1.682644262136624036e+01
8.999999999999999320e-03,1.683893492927291291e+01
1.000000000000000021e-02,1.688011539949046380e+01
1.099999999999999936e-02,1.688698987949438646e+01
1.200000000000000025e-02,1.683701095557014327e+01
1.299999999999999940e-02,1.691448775085971690e+01
1.400000000000000029e-02,1.694156277686251855e+01
1.499999999999999944e-02,1.690190624774187000e+01
1.600000000000000033e-02,1.692406054831053908e+01
1.700000000000000122e-02,1.687167652525176464e+01
1.799999999999999864e-02,1.688057170831243425e+01
1.899999999999999953e-02,1.686794187959013414e+01
2.000000000000000042e-02,1.681580546759511208e+01
2.100000000000000130e-02,1.684412746941525540e+01
2.199999999999999872e-02,1.685865253243828832e+01
2.299999999999999961e-02,1.689743873209445724e+01
2.400000000000000050e-02,1.681677979385164079e+01
2.500000000000000139e-02,1.686165849809009032e+01
2.599999999999999881e-02,1.684473750607049070e+01
2.699999999999999969e-02,1.684601202885118809e+01
2.800000000000000058e-02,1.685402008733021972e+01
2.900000000000000147e-02,1.681966821656698841e+01
2.999999999999999889e-02,1.682496371643439304e+01
3.099999999999999978e-02,1.682372936440270550e+01
3.200000000000000067e-02,1.682939681266690002e+01
3.300000000000000155e-02,1.683301039224971518e+01
3.400000000000000244e-02,1.685488355156861218e+01
3.500000000000000333e-02,1.690502149115586406e+01
3.599999999999999728e-02,1.678046265622428024e+01
3.699999999999999817e-02,1.689226803020740775e+01
3.799999999999999906e-02,1.685075707582387139e+01
3.899999999999999994e-02,1.682817808576799123e+01
4.000000000000000083e-02,1.689547043015632255e+01
4.100000000000000172e-02,1.686974946528029662e+01
4.200000000000000261e-02,1.693556650391462171e+01
4.299999999999999656e-02,1.681457554632662266e+01
4.399999999999999745e-02,1.687690283055760432e+01
4.499999999999999833e-02,1.683869379398151978e+01
4.599999999999999922e-02,1.690498413379347653e+01
4.700000000000000011e-02,1.684327974137104178e+01
4.800000000000000100e-02,1.691234156642262221e+01
4.900000000000000189e-02,1.689215369625739882e+01
5.000000000000000278e-02,1.677536277499493877e+01
5.099999999999999672e-02,1.681198864238152879e+01
5.199999999999999761e-02,1.678175199046830812e+01
5.299999999999999850e-02,1.683817792977073680e+01
5.399999999999999939e-02,1.681281123434185432e+01
5.500000000000000028e-02,1.684123291382205423e+01
5.600000000000000117e-02,1.688269258569797415e+01
5.700000000000000205e-02,1.685832617937809630e+01
5.800000000000000294e-02,1.688624282203988258e+01
5.899999999999999689e-02,1.684793099112424741e+01
5.999999999999999778e-02,1.682723528637673027e+01
6.099999999999999867e-02,1.682719378341444738e+01
6.199999999999999956e-02,1.685069465088845675e+01
6.300000000000000044e-02,1.689001345435981705e+01
6.400000000000000133e-02,1.684229813099308970e+01
6.500000000000000222e-02,1.688070688014023446e+01
6.600000000000000311e-02,1.686300199367527242e+01
6.700000000000000400e-02,1.685675769939798130e+01
6.800000000000000488e-02,1.683945896018834532e+01
6.900000000000000577e-02,1.690974876754225775e+01
7.000000000000000666e-02,1.689729246678216867e+01
7.099999999999999367e-02,1.681794670855105522e+01
7.199999999999999456e-02,1.687320705949719368e+01
7.299999999999999545e-02,1.683121553740518550e+01
7.399999999999999634e-02,1.686949634830103761e+01
7.499999999999999722e-02,1.679888667145674930e+01
7.599999999999999811e-02,1.680160049082598306e+01
7.699999999999999900e-02,1.687718357716884654e+01
7.799999999999999989e-02,1.681685566274622445e+01
7.900000000000000078e-02,1.680794817028878541e+01
8.000000000000000167e-02,1.685593468036937281e+01
8.100000000000000255e-02,1.689342921176933032e+01
8.200000000000000344e-02,1.681492480615550988e+01
8.300000000000000433e-02,1.684477509734414369e+01
8.400000000000000522e-02,1.682904814962383711e+01
8.500000000000000611e-02,1.685420145537901959e+01
8.599999999999999312e-02,1.679860922219019415e+01
8.699999999999999400e-02,1.685610260927770909e+01
8.799999999999999489e-02,1.682086554491532482e+01
8.899999999999999578e-02,1.677479253434560391e+01
8.999999999999999667e-02,1.675234588647420608e+01
9.099999999999999756e-02,1.679520643187803586e+01
9.199999999999999845e-02,1.685295483795114180e+01
9.299999999999999933e-02,1.686575780966441229e+01
9.400000000000000022e-02,1.687306160254912157e+01
9.500000000000000111e-02,1.689135542241959342e+01
