time_ns,rmsd_A
0.000000000000000000e+00,1.465737581253051758e+00
1.000000000000000021e-03,1.461903452873229980e+00
2.000000000000000042e-03,1.511393189430236816e+00
3.000000000000000062e-03,1.390570282936096191e+00
4.000000000000000083e-03,1.496704339981079102e+00
5.000000000000000104e-03,1.507421255111694336e+00
6.000000000000000125e-03,1.561405658721923828e+00
7.000000000000000146e-03,1.553937435150146484e+00
8.000000000000000167e-03,1.578193187713623047e+00
8.999999999999999320e-03,1.517608761787414551e+00
1.000000000000000021e-02,1.470290541648864746e+00
1.099999999999999936e-02,1.507641315460205078e+00
1.200000000000000025e-02,1.528996825218200684e+00
1.299999999999999940e-02,1.581003427505493164e+00
1.400000000000000029e-02,1.555233955383300781e+00
1.499999999999999944e-02,1.541310667991638184e+00
1.600000000000000033e-02,1.628989577293395996e+00
1.700000000000000122e-02,1.506557941436767578e+00
1.799999999999999864e-02,1.593875885009765625e+00
1.899999999999999953e-02,1.630711436271667480e+00
2.000000000000000042e-02,1.594419956207275391e+00
2.100000000000000130e-02,1.499207973480224609e+00
2.199999999999999872e-02,1.524200677871704102e+00
2.299999999999999961e-02,1.479251146316528320e+00
2.400000000000000050e-02,1.492403030395507812e+00
2.500000000000000139e-02,1.496977210044860840e+00
2.599999999999999881e-02,1.539820432662963867e+00
2.699999999999999969e-02,1.506168603897094727e+00
2.800000000000000058e-02,1.564979672431945801e+00
2.900000000000000147e-02,1.616980552673339844e+00
2.999999999999999889e-02,1.612335443496704102e+00
3.099999999999999978e-02,1.575134992599487305e+00
3.200000000000000067e-02,1.642651081085205078e+00
3.300000000000000155e-02,1.635288596153259277e+00
3.400000000000000244e-02,1.561552762985229492e+00
3.500000000000000333e-02,1.592082262039184570e+00
3.599999999999999728e-02,1.586319208145141602e+00
3.699999999999999817e-02,1.567130088806152344e+00
3.799999999999999906e-02,1.590912103652954102e+00
3.899999999999999994e-02,1.577368497848510742e+00
4.000000000000000083e-02,1.624677181243896484e+00
4.100000000000000172e-02,1.568350553512573242e+00
4.200000000000000261e-02,1.615370512008666992e+00
4.299999999999999656e-02,1.592658877372741699e+00
4.399999999999999745e-02,1.548856377601623535e+00
4.499999999999999833e-02,1.591441035270690918e+00
4.599999999999999922e-02,1.618951559066772461e+00
4.700000000000000011e-02,1.559689164161682129e+00
4.800000000000000100e-02,1.539439201354980469e+00
4.900000000000000189e-02,1.517222046852111816e+00
5.000000000000000278e-02,1.498969674110412598e+00
5.099999999999999672e-02,1.469578981399536133e+00
5.199999999999999761e-02,1.509095907211303711e+00
5.299999999999999850e-02,1.561438441276550293e+00
5.399999999999999939e-02,1.540184736251831055e+00
5.500000000000000028e-02,1.589114904403686523e+00
5.600000000000000117e-02,1.588761806488037109e+00
5.700000000000000205e-02,1.549053907394409180e+00
5.800000000000000294e-02,1.571194529533386230e+00
5.899999999999999689e-02,1.564996123313903809e+00
5.999999999999999778e-02,1.541062474250793457e+00
6.099999999999999867e-02,1.521587491035461426e+00
6.199999999999999956e-02,1.531963944435119629e+00
6.300000000000000044e-02,1.540632009506225586e+00
6.400000000000000133e-02,1.578516364097595215e+00
6.500000000000000222e-02,1.523447513580322266e+00
6.600000000000000311e-02,1.530497789382934570e+00
6.700000000000000400e-02,1.528362751007080078e+00
6.800000000000000488e-02,1.520094633102416992e+00
6.900000000000000577e-02,1.562091708183288574e+00
7.000000000000000666e-02,1.516229867935180664e+00
7.099999999999999367e-02,1.601619720458984375e+00
7.199999999999999456e-02,1.568838357925415039e+00
7.299999999999999545e-02,1.551012516021728516e+00
7.399999999999999634e-02,1.534708976745605469e+00
7.499999999999999722e-02,1.471903324127197266e+00
7.599999999999999811e-02,1.554528474807739258e+00
7.699999999999999900e-02,1.520447015762329102e+00
7.799999999999999989e-02,1.516885757446289062e+00
7.900000000000000078e-02,1.582019448280334473e+00
8.000000000000000167e-02,1.591505289077758789e+00
8.100000000000000255e-02,1.624551534652709961e+00
8.200000000000000344e-02,1.525188088417053223e+00
8.300000000000000433e-02,1.557954430580139160e+00
8.400000000000000522e-02,1.545674204826354980e+00
8.500000000000000611e-02,1.597153544425964355e+00
8.599999999999999312e-02,1.617974162101745605e+00
8.699999999999999400e-02,1.605644464492797852e+00
8.799999999999999489e-02,1.547900676727294922e+00
8.899999999999999578e-02,1.612999916076660156e+00
8.999999999999999667e-02,1.704359054565429688e+00
9.099999999999999756e-02,1.652946472167968750e+00
9.199999999999999845e-02,1.573984622955322266e+00
9.299999999999999933e-02,1.662687182426452637e+00
9.400000000000000022e-02,1.577918410301208496e+00
9.500000000000000111e-02,1.674932122230529785e+00
9.600000000000000200e-02,1.614786148071289062e+00
9.700000000000000289e-02,1.560490608215332031e+00
9.800000000000000377e-02,1.553707718849182129e+00
