time_ns,rg_A
0.000000000000000000e+00,1.696784248730014966e+01
1.000000000000000021e-03,1.686478130314667467e+01
2.000000000000000042e-03,1.699905759929552929e+01
3.000000000000000062e-03,1.690885336679182416e+01
4.000000000000000083e-03,1.692281130789104182e+01
5.000000000000000104e-03,1.696821575800905180e+01
6.000000000000000125e-03,1.699922222916546133e+01
7.000000000000000146e-03,1.698587155899081580e+01
8.000000000000000167e-03,1.700780296114963264e+01
8.999999999999999320e-03,1.693368416281113653e+01
1.000000000000000021e-02,1.694401108719691251e+01
1.099999999999999936e-02,1.700252300324021348e+01
1.200000000000000025e-02,1.697558377272417118e+01
1.299999999999999940e-02,1.698040050223763231e+01
1.400000000000000029e-02,1.691688535630117940e+01
1.499999999999999944e-02,1.697334094767548862e+01
1.600000000000000033e-02,1.697006905396989396e+01
1.700000000000000122e-02,1.697599647714405435e+01
1.799999999999999864e-02,1.695197781987410224e+01
1.899999999999999953e-02,1.696891627699724481e+01
2.000000000000000042e-02,1.697909747509732625e+01
2.100000000000000130e-02,1.690479923861282074e+01
2.199999999999999872e-02,1.697441007180542272e+01
2.299999999999999961e-02,1.699345908673419814e+01
2.400000000000000050e-02,1.696492896504889814e+01
2.500000000000000139e-02,1.694040284264309904e+01
2.599999999999999881e-02,1.699287842573568597e+01
2.699999999999999969e-02,1.694282097579251456e+01
2.800000000000000058e-02,1.695565282249736327e+01
2.900000000000000147e-02,1.696385994721113022e+01
2.999999999999999889e-02,1.693407677698142066e+01
3.099999999999999978e-02,1.686076700928013139e+01
3.200000000000000067e-02,1.689066227904059403e+01
3.300000000000000155e-02,1.694234603932723360e+01
3.400000000000000244e-02,1.691591865859729538e+01
3.500000000000000333e-02,1.692381569947065856e+01
3.599999999999999728e-02,1.690558450645639965e+01
3.699999999999999817e-02,1.686934561787561648e+01
3.799999999999999906e-02,1.690929738256757275e+01
3.899999999999999994e-02,1.695438818279001225e+01
4.000000000000000083e-02,1.697611849760978586e+01
4.100000000000000172e-02,1.688511254610889623e+01
4.200000000000000261e-02,1.694877205442886492e+01
4.299999999999999656e-02,1.691488851923559267e+01
4.399999999999999745e-02,1.700208839942657946e+01
4.499999999999999833e-02,1.698604438671811323e+01
4.599999999999999922e-02,1.696974672280410346e+01
4.700000000000000011e-02,1.696358697517123915e+01
4.800000000000000100e-02,1.694174142699822738e+01
4.900000000000000189e-02,1.691636903600258890e+01
5.000000000000000278e-02,1.696877246098683756e+01
5.099999999999999672e-02,1.694218260911569374e+01
5.199999999999999761e-02,1.699923080835261402e+01
5.299999999999999850e-02,1.693464352938310924e+01
5.399999999999999939e-02,1.694759540459248015e+01
5.500000000000000028e-02,1.693202551213363449e+01
5.600000000000000117e-02,1.694409388871861921e+01
5.700000000000000205e-02,1.689209566830820108e+01
5.800000000000000294e-02,1.697521617186793108e+01
5.899999999999999689e-02,1.695316230560529647e+01
5.999999999999999778e-02,1.692262759512856007e+01
6.099999999999999867e-02,1.695068418394366105e+01
6.199999999999999956e-02,1.698105470055070754e+01
6.300000000000000044e-02,1.696697970765602292e+01
6.400000000000000133e-02,1.700527118979324825e+01
6.500000000000000222e-02,1.697508972425720941e+01
6.600000000000000311e-02,1.699608775458220222e+01
6.700000000000000400e-02,1.704153753093920898e+01
6.800000000000000488e-02,1.698494772174506551e+01
6.900000000000000577e-02,1.698931416258075444e+01
7.000000000000000666e-02,1.697634663170082447e+01
7.099999999999999367e-02,1.705505509299352696e+01
7.199999999999999456e-02,1.697273673017261331e+01
7.299999999999999545e-02,1.691039765220189039e+01
7.399999999999999634e-02,1.691192074698152226e+01
7.499999999999999722e-02,1.697338176025057876e+01
7.599999999999999811e-02,1.697721413567373006e+01
7.699999999999999900e-02,1.697480963993037051e+01
7.799999999999999989e-02,1.697306336215638822e+01
7.900000000000000078e-02,1.694995338315408873e+01
8.000000000000000167e-02,1.692961432682147915e+01
8.100000000000000255e-02,1.695848368691617125e+01
8.200000000000000344e-02,1.702745759360610123e+01
8.300000000000000433e-02,1.693388815485027976e+01
8.400000000000000522e-02,1.698609490219481799e+01
8.500000000000000611e-02,1.691076768930852126e+01
8.599999999999999312e-02,1.697874773284215166e+01
8.699999999999999400e-02,1.693193638809860246e+01
8.799999999999999489e-02,1.698557316555679719e+01
8.899999999999999578e-02,1.692327708895080107e+01
8.999999999999999667e-02,1.695044608953960363e+01
9.099999999999999756e-02,1.696414746200108326e+01
9.199999999999999845e-02,1.695998816603974646e+01
9.299999999999999933e-02,1.697268271654841953e+01
9.400000000000000022e-02,1.701238839104014744e+01
9.500000000000000111e-02,1.703827770386520157e+01
9.600000000000000200e-02,1.698372640279017887e+01
9.700000000000000289e-02,1.702100791898650911e+01
9.800000000000000377e-02,1.694824769096520711e+01
9.900000000000000466e-02,1.693635530173929737e+01
