time_ns,rmsd_A
0.000000000000000000e+00,1.679877042770385742e+00
1.000000000000000021e-03,1.630763053894042969e+00
2.000000000000000042e-03,1.598647832870483398e+00
3.000000000000000062e-03,1.476699113845825195e+00
4.000000000000000083e-03,1.538674354553222656e+00
5.000000000000000104e-03,1.592593312263488770e+00
6.000000000000000125e-03,1.591453433036804199e+00
7.000000000000000146e-03,1.546064734458923340e+00
8.000000000000000167e-03,1.609720587730407715e+00
8.999999999999999320e-03,1.566069841384887695e+00
1.000000000000000021e-02,1.713707327842712402e+00
1.099999999999999936e-02,1.671427249908447266e+00
1.200000000000000025e-02,1.718160629272460938e+00
1.299999999999999940e-02,1.714914917945861816e+00
1.400000000000000029e-02,1.698276758193969727e+00
1.499999999999999944e-02,1.644154906272888184e+00
1.600000000000000033e-02,1.704870462417602539e+00
1.700000000000000122e-02,1.746004343032836914e+00
1.799999999999999864e-02,1.676008224487304688e+00
1.899999999999999953e-02,1.690840959548950195e+00
2.000000000000000042e-02,1.726899862289428711e+00
2.100000000000000130e-02,1.655093193054199219e+00
2.199999999999999872e-02,1.648315668106079102e+00
2.299999999999999961e-02,1.705185174942016602e+00
2.400000000000000050e-02,1.751134634017944336e+00
2.500000000000000139e-02,1.785618662834167480e+00
2.599999999999999881e-02,1.751659989356994629e+00
2.699999999999999969e-02,1.793687462806701660e+00
2.800000000000000058e-02,1.643828630447387695e+00
2.900000000000000147e-02,1.719216346740722656e+00
2.999999999999999889e-02,1.768142938613891602e+00
3.099999999999999978e-02,1.776938319206237793e+00
3.200000000000000067e-02,1.845641016960144043e+00
3.300000000000000155e-02,1.776938319206237793e+00
3.400000000000000244e-02,1.731850624084472656e+00
3.500000000000000333e-02,1.712648153305053711e+00
3.599999999999999728e-02,1.843382596969604492e+00
3.699999999999999817e-02,1.805022239685058594e+00
3.799999999999999906e-02,1.731555581092834473e+00
3.899999999999999994e-02,1.722112894058227539e+00
4.000000000000000083e-02,1.751703739166259766e+00
4.100000000000000172e-02,1.782897233963012695e+00
4.200000000000000261e-02,1.841440439224243164e+00
4.299999999999999656e-02,1.760755658149719238e+00
4.399999999999999745e-02,1.793544888496398926e+00
4.499999999999999833e-02,1.813385009765625000e+00
4.599999999999999922e-02,1.781922101974487305e+00
4.700000000000000011e-02,1.834390282630920410e+00
4.800000000000000100e-02,1.894229888916015625e+00
4.900000000000000189e-02,1.762641549110412598e+00
5.000000000000000278e-02,1.800528049468994141e+00
5.099999999999999672e-02,1.793587684631347656e+00
5.199999999999999761e-02,1.728068590164184570e+00
5.299999999999999850e-02,1.808939933776855469e+00
5.399999999999999939e-02,1.715451359748840332e+00
5.500000000000000028e-02,1.730817437171936035e+00
5.600000000000000117e-02,1.840024113655090332e+00
5.700000000000000205e-02,1.834209084510803223e+00
5.800000000000000294e-02,1.898892521858215332e+00
5.899999999999999689e-02,1.922262191772460938e+00
5.999999999999999778e-02,1.968883156776428223e+00
6.099999999999999867e-02,1.900937318801879883e+00
6.199999999999999956e-02,1.983175158500671387e+00
6.300000000000000044e-02,1.802797794342041016e+00
6.400000000000000133e-02,1.890461683273315430e+00
6.500000000000000222e-02,1.879859924316406250e+00
6.600000000000000311e-02,1.798426032066345215e+00
6.700000000000000400e-02,1.752841472625732422e+00
6.800000000000000488e-02,1.744671821594238281e+00
6.900000000000000577e-02,1.889907360076904297e+00
7.000000000000000666e-02,1.897397994995117188e+00
7.099999999999999367e-02,1.882767081260681152e+00
7.199999999999999456e-02,1.818367362022399902e+00
7.299999999999999545e-02,1.893447160720825195e+00
7.399999999999999634e-02,1.849307060241699219e+00
7.499999999999999722e-02,1.856080412864685059e+00
7.599999999999999811e-02,1.822845697402954102e+00
7.699999999999999900e-02,1.872312784194946289e+00
7.799999999999999989e-02,1.770251989364624023e+00
7.900000000000000078e-02,1.774217844009399414e+00
8.000000000000000167e-02,1.846388697624206543e+00
8.100000000000000255e-02,1.870796918869018555e+00
8.200000000000000344e-02,1.823826789855957031e+00
8.300000000000000433e-02,1.786191225051879883e+00
8.400000000000000522e-02,1.847025394439697266e+00
8.500000000000000611e-02,1.836604118347167969e+00
8.599999999999999312e-02,1.733340620994567871e+00
8.699999999999999400e-02,1.743484735488891602e+00
8.799999999999999489e-02,1.722142577171325684e+00
8.899999999999999578e-02,1.785117626190185547e+00
8.999999999999999667e-02,1.805234551429748535e+00
9.099999999999999756e-02,1.721682548522949219e+00
9.199999999999999845e-02,1.724159717559814453e+00
9.299999999999999933e-02,1.804866313934326172e+00
9.400000000000000022e-02,1.812186717987060547e+00
9.500000000000000111e-02,1.730699300765991211e+00
9.600000000000000200e-02,1.753424525260925293e+00
9.700000000000000289e-02,1.712797284126281738e+00
9.800000000000000377e-02,1.766262650489807129e+00
9.900000000000000466e-02,1.783771395683288574e+00
1.000000000000000056e-01,1.831113219261169434e+00
1.010000000000000064e-01,1.818086385726928711e+00
1.019999999999999934e-01,1.840190887451171875e+00
1.029999999999999943e-01,1.768547415733337402e+00
1.039999999999999952e-01,1.817495822906494141e+00
1.049999999999999961e-01,1.868076324462890625e+00
1.059999999999999970e-01,1.780472993850708008e+00
1.069999999999999979e-01,1.796762466430664062e+00
1.079999999999999988e-01,1.693604946136474609e+00
1.089999999999999997e-01,1.733325839042663574e+00
1.100000000000000006e-01,1.642770886421203613e+00
1.110000000000000014e-01,1.665560483932495117e+00
1.120000000000000023e-01,1.768316149711608887e+00
1.130000000000000032e-01,1.746516466140747070e+00
1.140000000000000041e-01,1.743528842926025391e+00
1.150000000000000050e-01,1.749323844909667969e+00
1.160000000000000059e-01,1.739213705062866211e+00
1.170000000000000068e-01,1.766581058502197266e+00
1.179999999999999938e-01,1.755871653556823730e+00
1.189999999999999947e-01,1.769255518913269043e+00
1.199999999999999956e-01,1.723136663436889648e+00
1.209999999999999964e-01,1.696740865707397461e+00
1.219999999999999973e-01,1.661473751068115234e+00
1.229999999999999982e-01,1.755332946777343750e+00
1.239999999999999991e-01,1.651785254478454590e+00
1.250000000000000000e-01,1.668121099472045898e+00
1.260000000000000009e-01,1.651800751686096191e+00
1.270000000000000018e-01,1.622703313827514648e+00
1.280000000000000027e-01,1.708599209785461426e+00
1.290000000000000036e-01,1.619676470756530762e+00
1.300000000000000044e-01,1.739125728607177734e+00
1.310000000000000053e-01,1.742869019508361816e+00
1.320000000000000062e-01,1.760087728500366211e+00
1.330000000000000071e-01,1.700337052345275879e+00
1.340000000000000080e-01,1.696017742156982422e+00
1.350000000000000089e-01,1.689676761627197266e+00
