run,mean_Q_final,mean_rmsd_A,mean_rg_A,n_contacts,n_frames
wt_350K_rep1,0.8278,1.828,16.954,4602,5000
mut_350K_rep1,0.8193,1.971,16.999,4474,5000
wt_350K_rep2,0.8175,1.817,16.981,4602,5000
mut_350K_rep2,0.8093,2.218,17.090,4474,5000
wt_350K_rep3,0.8225,1.861,16.951,4602,5000
mut_350K_rep3,0.8012,2.074,17.003,4474,5000
wt_350K_rep4,0.8067,1.931,17.006,4602,5000
mut_350K_rep4,0.8076,2.211,17.006,4474,5000
wt_350K_rep5,0.8008,1.989,16.982,4602,5000
mut_350K_rep5,0.8098,2.160,17.041,4474,5000
