time_ns,Q
0.000000000000000000e+00,8.431116905693176733e-01
1.000000000000000021e-03,8.711429813124728083e-01
2.000000000000000042e-03,8.561495002172968549e-01
3.000000000000000062e-03,8.491960017383746173e-01
4.000000000000000083e-03,8.563667970447631506e-01
5.000000000000000104e-03,8.441981747066492625e-01
6.000000000000000125e-03,8.574532811820947398e-01
7.000000000000000146e-03,8.535419382877009742e-01
8.000000000000000167e-03,8.498478922207736153e-01
8.999999999999999320e-03,8.678835289004780407e-01
1.000000000000000021e-02,8.581051716644937377e-01
1.099999999999999936e-02,8.811386353759235179e-01
1.200000000000000025e-02,8.646240764884832730e-01
1.299999999999999940e-02,8.670143415906127471e-01
1.400000000000000029e-02,8.689700130378096299e-01
1.499999999999999944e-02,8.700564971751412191e-01
1.600000000000000033e-02,8.646240764884832730e-01
1.700000000000000122e-02,8.594089526292916226e-01
1.799999999999999864e-02,8.602781399391569161e-01
1.899999999999999953e-02,8.533246414602346785e-01
2.000000000000000042e-02,8.615819209039548010e-01
2.100000000000000130e-02,8.676662320730117450e-01
2.199999999999999872e-02,8.698392003476749235e-01
2.299999999999999961e-02,8.587570621468926246e-01
2.400000000000000050e-02,8.581051716644937377e-01
2.500000000000000139e-02,8.667970447631464515e-01
2.599999999999999881e-02,8.683181225554107430e-01
2.699999999999999969e-02,8.637548891786179794e-01
2.800000000000000058e-02,8.626684050412863902e-01
2.900000000000000147e-02,8.587570621468926246e-01
2.999999999999999889e-02,8.624511082138200946e-01
3.099999999999999978e-02,8.639721860060842751e-01
3.200000000000000067e-02,8.809213385484572223e-01
3.300000000000000155e-02,8.848326814428509879e-01
3.400000000000000244e-02,8.728813559322033955e-01
3.500000000000000333e-02,8.733159495871359868e-01
3.599999999999999728e-02,8.733159495871359868e-01
3.699999999999999817e-02,8.748370273794002783e-01
3.799999999999999906e-02,8.626684050412863902e-01
3.899999999999999994e-02,8.602781399391569161e-01
4.000000000000000083e-02,8.704910908300739214e-01
4.100000000000000172e-02,8.617992177314210966e-01
4.200000000000000261e-02,8.511516731855715001e-01
4.299999999999999656e-02,8.607127335940895074e-01
4.399999999999999745e-02,8.639721860060842751e-01
4.499999999999999833e-02,8.609300304215558031e-01
4.599999999999999922e-02,8.689700130378096299e-01
4.700000000000000011e-02,8.620165145588873923e-01
4.800000000000000100e-02,8.689700130378096299e-01
4.900000000000000189e-02,8.622338113863537989e-01
5.000000000000000278e-02,8.622338113863537989e-01
5.099999999999999672e-02,8.794002607561929308e-01
5.199999999999999761e-02,8.581051716644937377e-01
5.299999999999999850e-02,8.615819209039548010e-01
5.399999999999999939e-02,8.648413733159495687e-01
5.500000000000000028e-02,8.646240764884832730e-01
5.600000000000000117e-02,8.735332464146023934e-01
5.700000000000000205e-02,8.735332464146023934e-01
5.800000000000000294e-02,8.626684050412863902e-01
5.899999999999999689e-02,8.750543242068665739e-01
5.999999999999999778e-02,8.733159495871359868e-01
6.099999999999999867e-02,8.820078226857888115e-01
6.199999999999999956e-02,8.600608431116906205e-01
6.300000000000000044e-02,8.670143415906127471e-01
6.400000000000000133e-02,8.570186875271621485e-01
6.500000000000000222e-02,8.746197305519339826e-01
6.600000000000000311e-02,8.791829639287266351e-01
6.700000000000000400e-02,8.748370273794002783e-01
6.800000000000000488e-02,8.691873098652759255e-01
6.900000000000000577e-02,8.524554541503693850e-01
7.000000000000000666e-02,8.657105606258148622e-01
7.099999999999999367e-02,8.583224684919600334e-01
7.199999999999999456e-02,8.704910908300739214e-01
7.299999999999999545e-02,8.761408083441981631e-01
7.399999999999999634e-02,8.585397653194263290e-01
7.499999999999999722e-02,8.780964797913950459e-01
7.599999999999999811e-02,8.824424163407214028e-01
7.699999999999999900e-02,8.796175575836592264e-01
7.799999999999999989e-02,8.670143415906127471e-01
7.900000000000000078e-02,8.670143415906127471e-01
8.000000000000000167e-02,8.757062146892655718e-01
8.100000000000000255e-02,8.726640591047370998e-01
8.200000000000000344e-02,8.665797479356801558e-01
8.300000000000000433e-02,8.624511082138200946e-01
8.400000000000000522e-02,8.676662320730117450e-01
8.500000000000000611e-02,8.678835289004780407e-01
8.599999999999999312e-02,8.757062146892655718e-01
8.699999999999999400e-02,8.661451542807474535e-01
8.799999999999999489e-02,8.639721860060842751e-01
8.899999999999999578e-02,8.739678400695349847e-01
8.999999999999999667e-02,8.837461973055192876e-01
9.099999999999999756e-02,8.726640591047370998e-01
9.199999999999999845e-02,8.752716210343328695e-01
9.299999999999999933e-02,8.648413733159495687e-01
9.400000000000000022e-02,8.794002607561929308e-01
9.500000000000000111e-02,8.770099956540634567e-01
9.600000000000000200e-02,8.833116036505866964e-01
9.700000000000000289e-02,8.735332464146023934e-01
9.800000000000000377e-02,8.880921338548457555e-01
9.900000000000000466e-02,8.811386353759235179e-01
1.000000000000000056e-01,8.789656671012603395e-01
1.010000000000000064e-01,8.774445893089960480e-01
1.019999999999999934e-01,8.787483702737940439e-01
1.029999999999999943e-01,8.726640591047370998e-01
1.039999999999999952e-01,8.828770099956541051e-01
1.049999999999999961e-01,8.683181225554107430e-01
1.059999999999999970e-01,8.750543242068665739e-01
1.069999999999999979e-01,8.741851368970012803e-01
1.079999999999999988e-01,8.802694480660582244e-01
1.089999999999999997e-01,8.746197305519339826e-01
1.100000000000000006e-01,8.785310734463276372e-01
1.110000000000000014e-01,8.787483702737940439e-01
1.120000000000000023e-01,8.724467622772708042e-01
1.130000000000000032e-01,8.704910908300739214e-01
1.140000000000000041e-01,8.737505432420686891e-01
1.150000000000000050e-01,8.759235115167318675e-01
1.160000000000000059e-01,8.746197305519339826e-01
1.170000000000000068e-01,8.724467622772708042e-01
1.179999999999999938e-01,8.620165145588873923e-01
1.189999999999999947e-01,8.772272924815297523e-01
1.199999999999999956e-01,8.728813559322033955e-01
1.209999999999999964e-01,8.802694480660582244e-01
1.219999999999999973e-01,8.826597131681876984e-01
1.229999999999999982e-01,8.667970447631464515e-01
1.239999999999999991e-01,8.689700130378096299e-01
1.250000000000000000e-01,8.578878748370273311e-01
1.260000000000000009e-01,8.733159495871359868e-01
1.270000000000000018e-01,8.744024337244675760e-01
1.280000000000000027e-01,8.633202955236853882e-01
1.290000000000000036e-01,8.613646240764885054e-01
1.300000000000000044e-01,8.585397653194263290e-01
1.310000000000000053e-01,8.652759669708822710e-01
1.320000000000000062e-01,8.739678400695349847e-01
1.330000000000000071e-01,8.707083876575402170e-01
1.340000000000000080e-01,8.809213385484572223e-01
1.350000000000000089e-01,8.783137766188613416e-01
1.360000000000000098e-01,8.717948717948718063e-01
1.370000000000000107e-01,8.770099956540634567e-01
1.380000000000000115e-01,8.711429813124728083e-01
1.390000000000000124e-01,8.450673620165145561e-01
1.400000000000000133e-01,8.607127335940895074e-01
1.409999999999999865e-01,8.754889178617991652e-01
1.419999999999999873e-01,8.609300304215558031e-01
1.429999999999999882e-01,8.563667970447631506e-01
1.439999999999999891e-01,8.463711429813124409e-01
1.449999999999999900e-01,8.407214254671881992e-01
1.459999999999999909e-01,8.633202955236853882e-01
1.469999999999999918e-01,8.589743589743589203e-01
1.479999999999999927e-01,8.504997827031725022e-01
1.489999999999999936e-01,8.550630160799652657e-01
1.499999999999999944e-01,8.439808778791829669e-01
1.509999999999999953e-01,8.428943937418513777e-01
1.519999999999999962e-01,8.628857018687526859e-01
1.529999999999999971e-01,8.455019556714471474e-01
1.539999999999999980e-01,8.520208604954367937e-01
1.549999999999999989e-01,8.541938287700999721e-01
1.559999999999999998e-01,8.435462842242503756e-01
1.570000000000000007e-01,8.622338113863537989e-01
1.580000000000000016e-01,8.370273794002607293e-01
1.590000000000000024e-01,8.313776618861364875e-01
1.600000000000000033e-01,8.355063016079965488e-01
1.610000000000000042e-01,8.478922207735767325e-01
1.620000000000000051e-01,8.472403302911777345e-01
1.630000000000000060e-01,8.574532811820947398e-01
1.640000000000000069e-01,8.491960017383746173e-01
1.650000000000000078e-01,8.594089526292916226e-01
1.660000000000000087e-01,8.418079096045197884e-01
1.670000000000000095e-01,8.550630160799652657e-01
1.680000000000000104e-01,8.535419382877009742e-01
1.690000000000000113e-01,8.583224684919600334e-01
1.700000000000000122e-01,8.611473272490222097e-01
1.710000000000000131e-01,8.498478922207736153e-01
1.719999999999999862e-01,8.450673620165145561e-01
1.729999999999999871e-01,8.535419382877009742e-01
1.739999999999999880e-01,8.457192524989135540e-01
1.749999999999999889e-01,8.633202955236853882e-01
1.759999999999999898e-01,8.476749239461104368e-01
1.769999999999999907e-01,8.600608431116906205e-01
1.779999999999999916e-01,8.548457192524988590e-01
1.789999999999999925e-01,8.685354193828770386e-01
1.799999999999999933e-01,8.568013906996957418e-01
1.809999999999999942e-01,8.507170795306387978e-01
1.819999999999999951e-01,8.546284224250325634e-01
1.829999999999999960e-01,8.563667970447631506e-01
1.839999999999999969e-01,8.531073446327683829e-01
1.849999999999999978e-01,8.522381573229030893e-01
1.859999999999999987e-01,8.561495002172968549e-01
1.869999999999999996e-01,8.544111255975662678e-01
1.880000000000000004e-01,8.489787049109083217e-01
1.890000000000000013e-01,8.504997827031725022e-01
1.900000000000000022e-01,8.533246414602346785e-01
1.910000000000000031e-01,8.696219035202086278e-01
1.920000000000000040e-01,8.626684050412863902e-01
1.930000000000000049e-01,8.654932637983485666e-01
1.940000000000000058e-01,8.450673620165145561e-01
1.950000000000000067e-01,8.617992177314210966e-01
1.960000000000000075e-01,8.537592351151672698e-01
1.970000000000000084e-01,8.561495002172968549e-01
1.980000000000000093e-01,8.531073446327683829e-01
1.990000000000000102e-01,8.520208604954367937e-01
2.000000000000000111e-01,8.650586701434158643e-01
2.010000000000000120e-01,8.511516731855715001e-01
2.020000000000000129e-01,8.524554541503693850e-01
2.030000000000000138e-01,8.544111255975662678e-01
2.039999999999999869e-01,8.448500651890482605e-01
2.049999999999999878e-01,8.446327683615819648e-01
2.059999999999999887e-01,8.396349413298566100e-01
2.069999999999999896e-01,8.528900478053020873e-01
2.079999999999999905e-01,8.474576271186440302e-01
2.089999999999999913e-01,8.615819209039548010e-01
2.099999999999999922e-01,8.648413733159495687e-01
2.109999999999999931e-01,8.763581051716644588e-01
2.119999999999999940e-01,8.700564971751412191e-01
2.129999999999999949e-01,8.544111255975662678e-01
2.139999999999999958e-01,8.696219035202086278e-01
2.149999999999999967e-01,8.704910908300739214e-01
2.159999999999999976e-01,8.663624511082138602e-01
2.169999999999999984e-01,8.737505432420686891e-01
2.179999999999999993e-01,8.570186875271621485e-01
2.190000000000000002e-01,8.635375923511516838e-01
2.200000000000000011e-01,8.609300304215558031e-01
2.210000000000000020e-01,8.437635810517166712e-01
