time_ns,rg_A
0.000000000000000000e+00,1.691509689708109576e+01
1.000000000000000021e-03,1.689463508735031638e+01
2.000000000000000042e-03,1.690576476068262934e+01
3.000000000000000062e-03,1.685970737217325421e+01
4.000000000000000083e-03,1.686537632829912425e+01
5.000000000000000104e-03,1.688620554922917449e+01
6.000000000000000125e-03,1.694688141356704847e+01
7.000000000000000146e-03,1.694353850684874274e+01
8.000000000000000167e-03,1.693457822403589219e+01
8.999999999999999320e-03,1.687498032027262695e+01
1.000000000000000021e-02,1.696265026853508218e+01
1.099999999999999936e-02,1.688871366070778635e+01
1.200000000000000025e-02,1.690284910071328994e+01
1.299999999999999940e-02,1.690894460261709042e+01
1.400000000000000029e-02,1.686114876863961243e+01
1.499999999999999944e-02,1.687601415085674716e+01
1.600000000000000033e-02,1.691227488155139014e+01
1.700000000000000122e-02,1.685289129276941722e+01
1.799999999999999864e-02,1.683686489437140921e+01
1.899999999999999953e-02,1.689613634340333448e+01
2.000000000000000042e-02,1.689198299388517910e+01
2.100000000000000130e-02,1.691768892583407791e+01
2.199999999999999872e-02,1.686169226957225220e+01
2.299999999999999961e-02,1.697483856732257124e+01
2.400000000000000050e-02,1.691773800867132138e+01
2.500000000000000139e-02,1.693855650117653511e+01
2.599999999999999881e-02,1.688281040366629071e+01
2.699999999999999969e-02,1.696506924611250966e+01
2.800000000000000058e-02,1.689738356775550443e+01
2.900000000000000147e-02,1.693781870439803328e+01
2.999999999999999889e-02,1.692307113443143862e+01
3.099999999999999978e-02,1.691413886085320328e+01
3.200000000000000067e-02,1.693448849757988839e+01
3.300000000000000155e-02,1.688520029404786982e+01
3.400000000000000244e-02,1.691362512856873934e+01
3.500000000000000333e-02,1.690775453096071601e+01
3.599999999999999728e-02,1.689702100518850258e+01
3.699999999999999817e-02,1.691181070408330100e+01
3.799999999999999906e-02,1.692051714158628073e+01
3.899999999999999994e-02,1.687940214892294932e+01
4.000000000000000083e-02,1.687311252111882354e+01
4.100000000000000172e-02,1.699250341906038386e+01
4.200000000000000261e-02,1.692714690053688642e+01
4.299999999999999656e-02,1.691048458557997591e+01
4.399999999999999745e-02,1.698374964459249270e+01
4.499999999999999833e-02,1.690203784566203637e+01
4.599999999999999922e-02,1.692390360323853216e+01
4.700000000000000011e-02,1.693475047274928968e+01
4.800000000000000100e-02,1.695827623433964959e+01
4.900000000000000189e-02,1.695113713982813763e+01
5.000000000000000278e-02,1.693499718327624137e+01
5.099999999999999672e-02,1.695672020927686674e+01
5.199999999999999761e-02,1.691082978031586137e+01
5.299999999999999850e-02,1.692393148053444207e+01
5.399999999999999939e-02,1.688962739055795836e+01
5.500000000000000028e-02,1.688080421066800696e+01
5.600000000000000117e-02,1.696799463367419847e+01
5.700000000000000205e-02,1.690153154946828451e+01
5.800000000000000294e-02,1.697240755442716420e+01
5.899999999999999689e-02,1.693767540121714887e+01
5.999999999999999778e-02,1.702965751610727096e+01
6.099999999999999867e-02,1.691258261656028949e+01
6.199999999999999956e-02,1.692632564832570097e+01
6.300000000000000044e-02,1.690503117351329365e+01
6.400000000000000133e-02,1.690823933336441343e+01
6.500000000000000222e-02,1.686268221002472245e+01
6.600000000000000311e-02,1.690446754937915586e+01
6.700000000000000400e-02,1.686273124562047698e+01
6.800000000000000488e-02,1.690922688248264905e+01
6.900000000000000577e-02,1.691766175363196112e+01
7.000000000000000666e-02,1.698877329270980496e+01
7.099999999999999367e-02,1.695554583527993486e+01
7.199999999999999456e-02,1.691412584662531060e+01
7.299999999999999545e-02,1.690942545497572169e+01
7.399999999999999634e-02,1.691228502694187696e+01
7.499999999999999722e-02,1.689291552001310492e+01
7.599999999999999811e-02,1.691481113823414972e+01
7.699999999999999900e-02,1.687226463825611589e+01
7.799999999999999989e-02,1.688478825663435856e+01
7.900000000000000078e-02,1.689810684440175947e+01
8.000000000000000167e-02,1.683445668810849938e+01
8.100000000000000255e-02,1.685184456907907702e+01
8.200000000000000344e-02,1.681404952569219802e+01
8.300000000000000433e-02,1.682124821214411625e+01
8.400000000000000522e-02,1.689232484663412492e+01
8.500000000000000611e-02,1.685334975736711272e+01
8.599999999999999312e-02,1.688511699605430039e+01
8.699999999999999400e-02,1.693903311264402944e+01
8.799999999999999489e-02,1.690077195757136508e+01
8.899999999999999578e-02,1.690867110720643041e+01
8.999999999999999667e-02,1.688886149872311648e+01
9.099999999999999756e-02,1.685151707807371935e+01
9.199999999999999845e-02,1.688859276735997028e+01
9.299999999999999933e-02,1.691653109692580514e+01
9.400000000000000022e-02,1.688417419338266612e+01
9.500000000000000111e-02,1.680501698568505375e+01
9.600000000000000200e-02,1.683700304702013284e+01
9.700000000000000289e-02,1.684630143395224167e+01
9.800000000000000377e-02,1.679776267736598072e+01
9.900000000000000466e-02,1.688159513683442725e+01
1.000000000000000056e-01,1.686545441455416849e+01
1.010000000000000064e-01,1.689351638972526359e+01
1.019999999999999934e-01,1.689895489637911297e+01
1.029999999999999943e-01,1.684614438941464698e+01
1.039999999999999952e-01,1.680198651781303099e+01
1.049999999999999961e-01,1.688307166472898757e+01
1.059999999999999970e-01,1.686258432382378203e+01
1.069999999999999979e-01,1.683376422244167614e+01
1.079999999999999988e-01,1.680279907138134377e+01
1.089999999999999997e-01,1.684433197780468205e+01
1.100000000000000006e-01,1.687025217926888843e+01
1.110000000000000014e-01,1.683322277418447044e+01
1.120000000000000023e-01,1.679177783950223457e+01
1.130000000000000032e-01,1.684708405032579037e+01
1.140000000000000041e-01,1.686305561555391463e+01
1.150000000000000050e-01,1.685598363277268774e+01
1.160000000000000059e-01,1.688719874644191421e+01
