frame,sasa_total_nm2
0.000000000000000000e+00,1.022606201171875000e+02
1.000000000000000000e+02,1.027240371704101562e+02
2.000000000000000000e+02,1.022358627319335938e+02
3.000000000000000000e+02,1.019118576049804688e+02
4.000000000000000000e+02,1.046410827636718750e+02
5.000000000000000000e+02,1.019317626953125000e+02
6.000000000000000000e+02,1.026633987426757812e+02
7.000000000000000000e+02,1.036066284179687500e+02
8.000000000000000000e+02,1.047269821166992188e+02
9.000000000000000000e+02,1.026238403320312500e+02
1.000000000000000000e+03,1.041797637939453125e+02
1.100000000000000000e+03,1.037626953125000000e+02
1.200000000000000000e+03,1.051688613891601562e+02
1.300000000000000000e+03,1.029132614135742188e+02
1.400000000000000000e+03,1.033597564697265625e+02
1.500000000000000000e+03,1.061087646484375000e+02
1.600000000000000000e+03,1.070723342895507812e+02
1.700000000000000000e+03,1.053013153076171875e+02
1.800000000000000000e+03,1.043609313964843750e+02
1.900000000000000000e+03,1.026174011230468750e+02
2.000000000000000000e+03,1.041005783081054688e+02
2.100000000000000000e+03,1.047751617431640625e+02
2.200000000000000000e+03,1.063507385253906250e+02
2.300000000000000000e+03,1.039908142089843750e+02
2.400000000000000000e+03,1.041444244384765625e+02
2.500000000000000000e+03,1.020234909057617188e+02
2.600000000000000000e+03,1.034795074462890625e+02
2.700000000000000000e+03,1.065554809570312500e+02
2.800000000000000000e+03,1.077904739379882812e+02
2.900000000000000000e+03,1.052602310180664062e+02
3.000000000000000000e+03,1.077648010253906250e+02
3.100000000000000000e+03,1.058612823486328125e+02
3.200000000000000000e+03,1.055391998291015625e+02
3.300000000000000000e+03,1.057196273803710938e+02
3.400000000000000000e+03,1.039424057006835938e+02
3.500000000000000000e+03,1.041492004394531250e+02
3.600000000000000000e+03,1.046976547241210938e+02
3.700000000000000000e+03,1.049481353759765625e+02
3.800000000000000000e+03,1.057453460693359375e+02
3.900000000000000000e+03,1.070886230468750000e+02
4.000000000000000000e+03,1.047389984130859375e+02
4.100000000000000000e+03,1.065435638427734375e+02
4.200000000000000000e+03,1.050910034179687500e+02
4.300000000000000000e+03,1.053710479736328125e+02
4.400000000000000000e+03,1.024809265136718750e+02
4.500000000000000000e+03,1.054155273437500000e+02
4.600000000000000000e+03,1.051454467773437500e+02
4.700000000000000000e+03,1.052960205078125000e+02
4.800000000000000000e+03,1.035973815917968750e+02
4.900000000000000000e+03,1.038431091308593750e+02
5.000000000000000000e+03,1.061881713867187500e+02
5.100000000000000000e+03,1.051607284545898438e+02
5.200000000000000000e+03,1.068583068847656250e+02
5.300000000000000000e+03,1.083592147827148438e+02
5.400000000000000000e+03,1.083006591796875000e+02
5.500000000000000000e+03,1.070666809082031250e+02
5.600000000000000000e+03,1.039902648925781250e+02
5.700000000000000000e+03,1.058775177001953125e+02
5.800000000000000000e+03,1.042148666381835938e+02
5.900000000000000000e+03,1.039728698730468750e+02
6.000000000000000000e+03,1.032330780029296875e+02
6.100000000000000000e+03,1.043290710449218750e+02
6.200000000000000000e+03,1.037533721923828125e+02
6.300000000000000000e+03,1.046582183837890625e+02
6.400000000000000000e+03,1.060717697143554688e+02
6.500000000000000000e+03,1.041304321289062500e+02
6.600000000000000000e+03,1.047744140625000000e+02
6.700000000000000000e+03,1.051155700683593750e+02
6.800000000000000000e+03,1.049313507080078125e+02
6.900000000000000000e+03,1.058497619628906250e+02
7.000000000000000000e+03,1.062328491210937500e+02
7.100000000000000000e+03,1.048031997680664062e+02
7.200000000000000000e+03,1.054902801513671875e+02
7.300000000000000000e+03,1.052044830322265625e+02
7.400000000000000000e+03,1.035845184326171875e+02
7.500000000000000000e+03,1.048769454956054688e+02
7.600000000000000000e+03,1.047218780517578125e+02
7.700000000000000000e+03,1.043937911987304688e+02
7.800000000000000000e+03,1.067548294067382812e+02
7.900000000000000000e+03,1.051093139648437500e+02
8.000000000000000000e+03,1.057086715698242188e+02
8.100000000000000000e+03,1.052551727294921875e+02
8.200000000000000000e+03,1.075880279541015625e+02
8.300000000000000000e+03,1.061078872680664062e+02
8.400000000000000000e+03,1.050028610229492188e+02
8.500000000000000000e+03,1.067155151367187500e+02
8.600000000000000000e+03,1.049328842163085938e+02
8.700000000000000000e+03,1.058444976806640625e+02
8.800000000000000000e+03,1.051927566528320312e+02
8.900000000000000000e+03,1.055524291992187500e+02
9.000000000000000000e+03,1.065600509643554688e+02
9.100000000000000000e+03,1.050504913330078125e+02
9.200000000000000000e+03,1.075890197753906250e+02
9.300000000000000000e+03,1.041124572753906250e+02
9.400000000000000000e+03,1.042889709472656250e+02
9.500000000000000000e+03,1.024222106933593750e+02
9.600000000000000000e+03,1.048949661254882812e+02
9.700000000000000000e+03,1.026165466308593750e+02
9.800000000000000000e+03,1.033344268798828125e+02
