run,mean_Q_final,mean_rmsd_A,mean_rg_A,mean_sasa_nm2,n_contacts,n_frames
wt_303K_rep1,0.8417,1.615,16.821,103.93,4591,20000
fast_303K_rep1,0.8631,1.522,16.795,103.13,4638,20000
wt_303K_rep2,0.8678,1.472,16.814,103.62,4591,20000
fast_303K_rep2,0.8750,1.448,16.803,102.90,4638,20000
wt_303K_rep3,0.8628,1.539,16.802,103.79,4591,20000
fast_303K_rep3,0.8713,1.491,16.796,102.92,4638,20000
wt_323K_rep1,0.8158,1.708,16.846,104.81,4591,20000
fast_323K_rep1,0.8445,1.562,16.847,104.40,4638,20000
wt_323K_rep2,0.8351,1.658,16.824,104.32,4591,20000
fast_323K_rep2,0.8457,1.611,16.849,104.71,4638,20000
wt_323K_rep3,0.8200,1.709,16.890,105.12,4591,20000
fast_323K_rep3,0.8202,1.881,16.905,106.42,4638,20000
