time_ns,rmsd_A
0.000000000000000000e+00,1.392191052436828613e+00
1.000000000000000021e-03,1.416803598403930664e+00
2.000000000000000042e-03,1.458113670349121094e+00
3.000000000000000062e-03,1.402121067047119141e+00
4.000000000000000083e-03,1.422804474830627441e+00
5.000000000000000104e-03,1.408001422882080078e+00
6.000000000000000125e-03,1.400706768035888672e+00
7.000000000000000146e-03,1.395920753479003906e+00
8.000000000000000167e-03,1.466702818870544434e+00
8.999999999999999320e-03,1.472849845886230469e+00
1.000000000000000021e-02,1.481353640556335449e+00
1.099999999999999936e-02,1.437401175498962402e+00
1.200000000000000025e-02,1.457124829292297363e+00
1.299999999999999940e-02,1.395349025726318359e+00
1.400000000000000029e-02,1.398518204689025879e+00
1.499999999999999944e-02,1.407672286033630371e+00
1.600000000000000033e-02,1.398150205612182617e+00
1.700000000000000122e-02,1.442709684371948242e+00
1.799999999999999864e-02,1.419090986251831055e+00
1.899999999999999953e-02,1.411780595779418945e+00
2.000000000000000042e-02,1.463540673255920410e+00
2.100000000000000130e-02,1.400026679039001465e+00
2.199999999999999872e-02,1.423328995704650879e+00
2.299999999999999961e-02,1.377881288528442383e+00
2.400000000000000050e-02,1.354614377021789551e+00
2.500000000000000139e-02,1.385314941406250000e+00
2.599999999999999881e-02,1.381071925163269043e+00
2.699999999999999969e-02,1.407343268394470215e+00
2.800000000000000058e-02,1.395847082138061523e+00
2.900000000000000147e-02,1.401074171066284180e+00
2.999999999999999889e-02,1.386280655860900879e+00
3.099999999999999978e-02,1.402671575546264648e+00
3.200000000000000067e-02,1.396252632141113281e+00
3.300000000000000155e-02,1.395053863525390625e+00
3.400000000000000244e-02,1.391229391098022461e+00
3.500000000000000333e-02,1.342896819114685059e+00
3.599999999999999728e-02,1.383678793907165527e+00
3.699999999999999817e-02,1.379207134246826172e+00
3.799999999999999906e-02,1.360681176185607910e+00
3.899999999999999994e-02,1.360624432563781738e+00
4.000000000000000083e-02,1.360964894294738770e+00
4.100000000000000172e-02,1.326659798622131348e+00
4.200000000000000261e-02,1.319890618324279785e+00
4.299999999999999656e-02,1.323221206665039062e+00
4.399999999999999745e-02,1.364383816719055176e+00
4.499999999999999833e-02,1.337826967239379883e+00
4.599999999999999922e-02,1.366758823394775391e+00
4.700000000000000011e-02,1.311713695526123047e+00
4.800000000000000100e-02,1.320592403411865234e+00
4.900000000000000189e-02,1.308668732643127441e+00
5.000000000000000278e-02,1.333375096321105957e+00
5.099999999999999672e-02,1.362080335617065430e+00
5.199999999999999761e-02,1.343222618103027344e+00
5.299999999999999850e-02,1.343088388442993164e+00
5.399999999999999939e-02,1.350141644477844238e+00
5.500000000000000028e-02,1.368151783943176270e+00
5.600000000000000117e-02,1.356247544288635254e+00
5.700000000000000205e-02,1.382431864738464355e+00
5.800000000000000294e-02,1.344582438468933105e+00
5.899999999999999689e-02,1.337480664253234863e+00
5.999999999999999778e-02,1.394481778144836426e+00
6.099999999999999867e-02,1.419018387794494629e+00
6.199999999999999956e-02,1.424323201179504395e+00
6.300000000000000044e-02,1.371139764785766602e+00
6.400000000000000133e-02,1.343778133392333984e+00
6.500000000000000222e-02,1.416258573532104492e+00
6.600000000000000311e-02,1.386020779609680176e+00
6.700000000000000400e-02,1.332892417907714844e+00
6.800000000000000488e-02,1.385853528976440430e+00
6.900000000000000577e-02,1.367097854614257812e+00
7.000000000000000666e-02,1.360473036766052246e+00
7.099999999999999367e-02,1.323532342910766602e+00
7.199999999999999456e-02,1.333992719650268555e+00
7.299999999999999545e-02,1.337980985641479492e+00
7.399999999999999634e-02,1.334552168846130371e+00
7.499999999999999722e-02,1.328307867050170898e+00
7.599999999999999811e-02,1.305734634399414062e+00
7.699999999999999900e-02,1.353834986686706543e+00
7.799999999999999989e-02,1.324718117713928223e+00
7.900000000000000078e-02,1.314418911933898926e+00
8.000000000000000167e-02,1.322248220443725586e+00
8.100000000000000255e-02,1.265837669372558594e+00
8.200000000000000344e-02,1.265451312065124512e+00
8.300000000000000433e-02,1.259477376937866211e+00
8.400000000000000522e-02,1.251728534698486328e+00
8.500000000000000611e-02,1.309651732444763184e+00
8.599999999999999312e-02,1.283165693283081055e+00
8.699999999999999400e-02,1.324679255485534668e+00
8.799999999999999489e-02,1.309553503990173340e+00
8.899999999999999578e-02,1.322501182556152344e+00
8.999999999999999667e-02,1.303762078285217285e+00
9.099999999999999756e-02,1.248165965080261230e+00
9.199999999999999845e-02,1.316864490509033203e+00
9.299999999999999933e-02,1.306700229644775391e+00
9.400000000000000022e-02,1.290586233139038086e+00
9.500000000000000111e-02,1.373503088951110840e+00
9.600000000000000200e-02,1.304610729217529297e+00
9.700000000000000289e-02,1.359678387641906738e+00
