frame,sasa_total_nm2
0.000000000000000000e+00,1.037443237304687500e+02
1.000000000000000000e+02,1.027454147338867188e+02
2.000000000000000000e+02,1.015337219238281250e+02
3.000000000000000000e+02,1.015288391113281250e+02
4.000000000000000000e+02,1.034241333007812500e+02
5.000000000000000000e+02,1.027104949951171875e+02
6.000000000000000000e+02,1.022825622558593750e+02
7.000000000000000000e+02,1.025056610107421875e+02
8.000000000000000000e+02,1.022887039184570312e+02
9.000000000000000000e+02,1.033865890502929688e+02
1.000000000000000000e+03,1.044983520507812500e+02
1.100000000000000000e+03,1.050361938476562500e+02
1.200000000000000000e+03,1.047200775146484375e+02
1.300000000000000000e+03,1.038841323852539062e+02
1.400000000000000000e+03,1.025932388305664062e+02
1.500000000000000000e+03,1.023150787353515625e+02
1.600000000000000000e+03,1.027929153442382812e+02
1.700000000000000000e+03,1.042104797363281250e+02
1.800000000000000000e+03,1.045499420166015625e+02
1.900000000000000000e+03,1.042223205566406250e+02
2.000000000000000000e+03,1.043885650634765625e+02
2.100000000000000000e+03,1.043907012939453125e+02
2.200000000000000000e+03,1.057941131591796875e+02
2.300000000000000000e+03,1.051251144409179688e+02
2.400000000000000000e+03,1.045960540771484375e+02
2.500000000000000000e+03,1.027109069824218750e+02
2.600000000000000000e+03,1.032709960937500000e+02
2.700000000000000000e+03,1.058966293334960938e+02
2.800000000000000000e+03,1.025048522949218750e+02
2.900000000000000000e+03,1.029032592773437500e+02
3.000000000000000000e+03,1.066438903808593750e+02
3.100000000000000000e+03,1.052605819702148438e+02
3.200000000000000000e+03,1.064215698242187500e+02
3.300000000000000000e+03,1.050011291503906250e+02
3.400000000000000000e+03,1.054810943603515625e+02
3.500000000000000000e+03,1.031189041137695312e+02
3.600000000000000000e+03,1.038244628906250000e+02
3.700000000000000000e+03,1.027662200927734375e+02
3.800000000000000000e+03,1.037355499267578125e+02
3.900000000000000000e+03,1.013880615234375000e+02
4.000000000000000000e+03,1.033574905395507812e+02
4.100000000000000000e+03,1.031130599975585938e+02
4.200000000000000000e+03,1.038295593261718750e+02
4.300000000000000000e+03,1.021690750122070312e+02
4.400000000000000000e+03,1.042779235839843750e+02
4.500000000000000000e+03,1.040721282958984375e+02
4.600000000000000000e+03,1.037274475097656250e+02
4.700000000000000000e+03,1.018615264892578125e+02
4.800000000000000000e+03,1.032654953002929688e+02
4.900000000000000000e+03,1.037204666137695312e+02
